business_id,name,category_id,category,address,latitude,longitude,tel,rating
56123f25498e72654853bd1a,Randi Roggenbihl Rause Retter,13030,Buffet,"Gjerdrums vei 10 A, 0484 Oslo",59.953881,10.763806,22 49 08 18,
524aadac498ebdced87ade2b,Sbio Kroa,13003,Bar,"Nydalsveien 37, 0484 Oslo",59.948931,10.768354,977 36 099,6.0
548b0fa7498e949de7edb8c2,Salateriet,13145,Fast Food Restaurant,"Nydalsveien 33 (Nydalsveien 33), 0484 Oslo",59.949047,10.766465,948 86 168,
57922ccfcd101a68ea88c6f8,Joe & The Juice,13032,"Cafe, Coffee, and Tea House","Nydalsveien 33, 0484 Oslo",59.949068,10.766169,,
57f7a35dcd10b5d062c97a8f,WHAT'SOUP Nydalen,13342,Soup Spot,"Nydalsveien 33, 0484 Oslo",59.949434,10.765733,901 61 674,
4b4dff14f964a5207add26e3,Peppes Pizza,13064,Pizzeria,"Nydalsveien 36, 0484 Oslo",59.949932,10.766565,22 22 55 55,5.4
6148c3bc4075ff032594ea32,Burger Shack,13031,Burger Joint,0484 Oslo,59.948574,10.766915,,
59aae7909be5225c7b2eeab2,Smak!,13288,Kebab Restaurant,0484 Oslo,59.94855,10.766613,22 18 22 15,
5ce2cc3a8194fc002ce10413,Dr Crunchy - Oslo Fried Chicken,13055,Fried Chicken Joint,0484 Oslo,59.948507,10.766838,,
5b0ae971333d6b0024785d4c,Nydalen Wok,13032,"Cafe, Coffee, and Tea House","Nydalen Allé 1, 0484 Oslo",59.948498,10.766723,,
5dcc6501bf1af40008adc9b5,Los Tacos,13306,Taco Restaurant,0485 Oslo,59.948288,10.771566,,
5d64f83ed3702c0008393b89,Nydalen Pizza og Grill Ahmed,13145,Fast Food Restaurant,"Nydalen allé 19, 0484 Oslo",59.947712,10.767894,23 00 96 96,
54380b26498e299b6020ee70,Cin Cin,13236,Italian Restaurant,"Nydalen Allé 19, 0484 Oslo",59.947628,10.76738,21 91 00 01,
4e70be0c2271c7e78bebe4b8,Tavli Cafe Bar,13022,Sports Bar,"Gunnar Schjelderups vei 13 C, 0485 Oslo",59.949806,10.775649,21 99 44 44,
5c08136265cdf80039451d93,Pink Fish,13338,Seafood Restaurant,"Vitaminveien 31, 0484 Oslo",59.947387,10.771042,458 56 176,
5f3d0a4cdcf2fd3384235b30,Fly Chicken,13055,Fried Chicken Joint,"Vitaminveien 31, 0484 Oslo",59.947387,10.771042,404 09 831,
5bd5d8f11af852002c465e40,Johnny Rockets,13032,"Cafe, Coffee, and Tea House","Vitaminveien 11, 0485 Oslo",59.94771,10.771812,466 74 145,
5df8f98311ae510008da8b02,Los Tacos - Storo,13306,Taco Restaurant,"Vitaminveien 11E, 0485 Oslo",59.947266,10.771953,464 00 101,
5c4853a6cb3fd2002ce10ad3,Brasserie Ferda,13336,Scandinavian Restaurant,"Vitaminveien 23, 0485 Oslo",59.947253,10.772202,,
62dc3f65221a1e0e884acb2e,Redsun,13072,Asian Restaurant,0483 Oslo,59.946898,10.771646,,
61ec5be923d27f6dbc2eb9e1,Mr Mi,13072,Asian Restaurant,"Vitaminveien 24, 0483 Oslo",59.946944,10.772082,,
5840643592789f706d47f104,Domino's Pizza,13064,Pizzeria,0484 Oslo,59.946106,10.767502,,
5ab647d0037be12b645275c6,Eataly,13236,Italian Restaurant,0485 Oslo,59.947414,10.774748,,
56787239498ecc0a7f181514,Mamma Pizza,13064,Pizzeria,"Vitaminveien 7-9, Oslo",59.947361,10.774755,,
4cdf4e3effcf3704f9031982,Nydalen Kebab og Pizza,13145,Fast Food Restaurant,"Maridalsveien 256, 0872 Oslo",59.946263,10.759983,21 05 84 84,5.6
61b8c00dc5a7db019422d892,Three Little Birds,13009,Cocktail Bar,"Vitaminveien 18, 0483 Oslo",59.9467,10.772745,988 17 615,
5a35b919772fbc374b461a6e,La Baguette Storo,13334,Sandwich Spot,"Vitaminveien 7-9, 0485 Oslo",59.947472,10.774948,458 61 640,
60f9b860fb77c64b0238f071,Digg,13064,Pizzeria,0485 Oslo,59.946851,10.773761,,
4c657564b80abe9aad35cae5,lille P,13332,Salad Restaurant,,59.946774,10.774225,,
636e83342ad87a3093f3f9bf,Unik Sushi Og Roll,13276,Sushi Restaurant,"Nycoveien 12, 0483 Oslo",59.946312,10.772734,,
5c115b5ab77c77002c525c72,"Little Eataly, Storo Storsenter",13236,Italian Restaurant,0485 Oslo,59.946744,10.774734,,
53807fa1498ef9ed0508e9f8,Bit Storo Senter,13034,Café,Oslo,59.94657,10.774616,934 82 155,
5e5a61d632281c0008954c47,Sabi Sushi Storo,13276,Sushi Restaurant,"Nycoveien 2, 0483 Oslo",59.945656,10.772372,930 04 659,
5e245e9e313854000850ef91,Talormade,13043,Donut Shop,"Nycoveien 2, 0483 Oslo",59.945329,10.772756,930 01 227,
4c6577809cb82d7f96d68dd2,Jordbærpikene,13034,Café,"Vitaminveien 7-9 (Vitaminveien 9), 0485 Oslo",59.947156,10.77482,406 22 120,5.4
60c3a8501952b83610cb80e8,Lillo Lounge,13016,Lounge,"Sandakerveien 98-100, 0484 Oslo",59.94511,10.771514,942 76 659,
5f107c78b5c3dd682b5f6f4f,Smak av Italia,13039,Deli,0484 Oslo,59.944878,10.771774,,
5ee64a978d0fc40008aa4300,Kompis,13031,Burger Joint,"Sandakerveien 102D, 0484 Oslo",59.944806,10.771665,979 08 000,
616c1f85138bf02ccf545ab2,Lille Saigon 1,13379,Vietnamese Restaurant,0484 Oslo,59.944737,10.771546,,
4cf23dff88de370470f0772b,McDonald's,13031,Burger Joint,"Storo Storsenter (Vitaminveien 7-9), 0485 Oslo",59.946577,10.774639,22 15 09 24,4.9
8654da7b66834687b1d9f2ff,Kaffepikene,13003,Bar,"Nydalsveien 33, 0484 Oslo",59.949125,10.766336,23 26 00 40,
513a1e10e4b0753d66414302,Galleri A,10004,Art Gallery,,59.927015,10.72518,,
560c0243498edfbe7e5fe6ea,Sporveisgata,13065,Restaurant,"Thorvald Meyers gate 61, 0552 Oslo",59.9247,10.728101,21 38 42 06,
4d614ee2d7206ea8cecefef1,Umi Sushi,13276,Sushi Restaurant,"Neuberggata 9, 0367 Oslo",59.925615,10.714578,22 55 81 00,
500d3199e4b042b407274718,Kafe Vigeland,13034,Café,"Frognerveien 67, 0266 Oslo",59.924958,10.707314,22 13 54 90,
64303e8789a99d37359eb9de,Piazza Italia,13236,Italian Restaurant,"58 Frognerveien, Oslo",59.922314,10.704338,,
4b0588b6f964a520b5d522e3,Brasserie France,13148,French Restaurant,"Øvre Slottsgate 16, 0157 Oslo",59.91317,10.742759,23 10 01 65,8.1
4b37579df964a520904025e3,Bohemen Sportspub,13022,Sports Bar,"Arbeidergata 2, 0159 Oslo",59.914383,10.740881,22 41 62 66,7.3
4bb71ab02ea195210e8dac2f,New Beirut Kebab,13145,Fast Food Restaurant,"Møllergata 8, 0179 Oslo",59.914141,10.746762,22 42 54 54,7.4
4b0588b3f964a52099d422e3,Stortorvets Gjæstgiveri,13049,Diner,"Grensen 1, 0159 Oslo",59.913506,10.744812,23 35 63 60,6.6
4bcc09203740b71353766365,Prima Fila Ristorante,13003,Bar,"Fridtjof Nansens plass 5, 0160 Oslo",59.913232,10.734568,22 42 27 50,6.5
4b0588b3f964a5207ad422e3,The Scotsman,13022,Sports Bar,"Karl Johans gate 17, 0159 Oslo",59.912665,10.743595,22 47 44 77,6.2
54944c06498e427c84ebd22b,Taverna'n,13027,Bistro,"Youngstorget 1, 0181 Oslo",59.914797,10.750111,400 17 437,7.1
4b0588b7f964a520ddd522e3,La Sangria,13345,Spanish Restaurant,"Holbergs gate 19, 0166 Oslo",59.918906,10.733653,22 11 63 15,7.6
554a4db7498ebde87bd6f1f0,Indi Spice,13198,Indian Chinese Restaurant,"Welhavens gate 2A, 0166 Oslo",59.919734,10.733586,22 20 96 08,6.6
4b0588b3f964a52084d422e3,The Dubliner Folk Pub Oslo,10039,Music Venue,"Rådhusgata 28 (Nedre Slottsgate), 0151 Oslo",59.909754,10.740586,22 33 70 05,8.0
4f37b82b4fc64328d5fdfddd,Yamas,13177,Greek Restaurant,"Parkveien 6, 0350 Oslo",59.92135,10.730128,22 46 89 09,
5166e567e4b0c1d137cce039,Wasabi Sushi,13276,Sushi Restaurant,"Hagegata 22/24, 0653 Oslo",59.91447,10.775173,21 64 64 09,7.7
564f58c6498e222d853f29d2,Brick Lane Café,13035,Coffee Shop,"Grensesvingen 7, Oslo",59.91407,10.798787,472 76 986,6.8
596650ffb3d8e26c68341ee6,Brooklyn Burger Joint Oslo,13031,Burger Joint,"Hagegata 22, 0653 Oslo",59.914548,10.775045,405 20 202,6.8
5222124811d2ebf3c69bae43,Pizzanini Ensjø,13064,Pizzeria,"Gladengveien 4, 0661 Oslo",59.915417,10.788474,901 91 215,
4b22c46df964a5202b4d24e3,Folkets Kebab,13145,Fast Food Restaurant,"Grenseveien 76 (Vallefaret), 0663 Oslo",59.917063,10.800619,22 65 47 22,6.1
4b54b4a8f964a5201dc827e3,Galgeberg Corner,13010,Dive Bar,"St. Halvards gate 65-67, 0657 Oslo",59.907258,10.780581,22 57 25 56,5.9
5200c342498e3c2c1bbd107c,Ensjø Sushi & Wok,13072,Asian Restaurant,"Gladengveien 15b, 0661 Oslo",59.917472,10.7929,,
557d91b1498e50ed08c518bb,Vålerenga Halal Burger,13145,Fast Food Restaurant,"Strømsveien 25A, 0658 Oslo",59.908724,10.787023,21 64 64 64,
5f491ea866125c5f0350729e,Fresh Asian Fusion,13072,Asian Restaurant,"Grensesvingen 7 Fyrstikktorget, 0661 Oslo",59.913672,10.799314,21 93 13 13,
53aaf494498e7499e4108b72,Malerhaugen Taverna,13027,Bistro,,59.917102,10.795469,,
4c9231e8ae96a09334aea946,Gwen Sushi,13276,Sushi Restaurant,"Strømsveien 22 c, Oslo",59.908485,10.786767,21 68 02 68,
54c29070498e9fdb2df9cbfe,Asia Rett Hjem Ans,13276,Sushi Restaurant,"Gladengveien 15, 0661 Oslo",59.91711,10.792195,22 19 88 88,
51a75bdf498e96557cc4443c,Tava Restaurant & Bar,13303,Mexican Restaurant,,59.913717,10.777332,,
56eec7b6498e7524025ae670,Marienfryd Kafé & Grill,13145,Fast Food Restaurant,"Bertrand Narvesens vei 2, 0661 Oslo",59.919909,10.790957,21 68 88 89,
5001a27ce4b06c76d07d0a3b,"""Friends""",13145,Fast Food Restaurant,"Enebakkveien 17, 0657 Oslo",59.907623,10.782455,400 72 604,
5fba96cba17e0d25db05a716,Indi Gastrobar,13199,Indian Restaurant,"Nordmannsgate 5B, 0650 Oslo",59.908717,10.779602,454 82 869,
5b6e1495e7a23700395999d8,Tøyen Pizza Grill,13145,Fast Food Restaurant,"Økernveien 5, 0653 Oslo",59.914309,10.776483,22 68 58 58,
557b0117498e2a3d9179ef03,Vålerenga Grill Og Kebab Mohammad Husnain Butt,13145,Fast Food Restaurant,"Enebakkveien 17, 0657 Oslo",59.907279,10.78198,404 72 847,
4b05ab1df964a520a0e022e3,Torgerstuen,13034,Café,"Åkebergveien 50 A, 0650 Oslo",59.909464,10.776802,22 19 06 22,
504cde64e4b08a4f69b29daa,Sverresgate,13177,Greek Restaurant,"Sverres gate, Oslo",59.911295,10.776644,,
4b070d85f964a52054f622e3,Dr Pizza,13064,Pizzeria,"Galgeberg 3, 0657 Oslo",59.907473,10.779964,23 24 03 33,
62af4c0253331d63c966007e,Food Family,13064,Pizzeria,0652,59.913795,10.774366,,
514a3d2fe4b03ade7c2924ee,Galgeberg Corner,13031,Burger Joint,Oslo,59.906773,10.777732,,
43d9412a107d47069b53db3e,Gv Drift,13065,Restaurant,"Gladengveien 4, 0661 Oslo",59.915361,10.788307,957 21 303,
